query,postive_doc,negative_doc
不动产抵押登记的法律依据及抵押权设立条件,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零二条【不动产抵押登记】以本法第三百九十五条第一款第一项至第三项规定的财产或者第五项规定的正在建造的建筑物抵押的应当办理抵押登记。抵押权自登记时设立。","第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十八条【担保合同】设立担保物权应当依照本法和其他法律的规定订立担保合同。担保合同包括抵押合同、质押合同和其他具有担保功能的合同。担保合同是主债权债务合同的从合同。主债权债务合同无效的担保合同无效但是法律另有规定的除外。担保合同被确认无效后债务人、担保人、债权人有过错的应当根据其过错各自承担相应的民事责任。"
不动产抵押登记的法律规定及抵押权设立时间,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零二条【不动产抵押登记】以本法第三百九十五条第一款第一项至第三项规定的财产或者第五项规定的正在建造的建筑物抵押的应当办理抵押登记。抵押权自登记时设立。","第一编 总 则,无,第五章 民 事 权 利,无,第一百一十条【民事主体的人格权】自然人享有生命权、身体权、健康权、姓名权、肖像权、名誉权、荣誉权、隐私权、婚姻自主权等权利。法人、非法人组织享有名称权、名誉权和荣誉权。"
动产抵押权的设立时间及未经登记的法律效力如何？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零三条【动产抵押的效力】以动产抵押的抵押权自抵押合同生效时设立未经登记不得对抗善意第三人。","第三编 合同,第二分编 典型合同,第十四章 租赁合同,无,第七百二十一条【租金支付期限】承租人应当按照约定的期限支付租金。对支付租金的期限没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定租赁期限不满一年的应当在租赁期限届满时支付租赁期限一年以上的应当在每届满一年时支付剩余期限不满一年的应当在租赁期限届满时支付。"
动产抵押权的设立条件及未经登记的法律后果,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零三条【动产抵押的效力】以动产抵押的抵押权自抵押合同生效时设立未经登记不得对抗善意第三人。","第四编 人 格 权,无,第四章 肖 像 权,无,第一千零二十三条【姓名许可和声音保护的参照适用】对姓名等的许可使用参照适用肖像许可使用的有关规定。对自然人声音的保护参照适用肖像权保护的有关规定。"
动产抵押的效力及登记对抗规则,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零三条【动产抵押的效力】以动产抵押的抵押权自抵押合同生效时设立未经登记不得对抗善意第三人。","第二编 物 权,第二分编 所 有 权,第六章 业主的建筑物区分所有权,无,第二百七十八条【业主共同决定事项及表决】下列事项由业主共同决定业主共同决定事项应当由专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决。决定前款第六项至第八项规定的事项应当经参与表决专有部分面积四分之三以上的业主且参与表决人数四分之三以上的业主同意。决定前款其他事项应当经参与表决专有部分面积过半数的业主且参与2"
动产抵押权在正常经营活动中不得对抗已支付合理价款的买受人吗？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零四条【动产抵押权无追及效力】以动产抵押的不得对抗正常经营活动中已经支付合理价款并取得抵押财产的买受人。","第三编 合同,第二分编 典型合同,第九章 买卖合同,无,第五百九十八条【出卖人基本义务】出卖人应当履行向买受人交付标的物或者交付提取标的物的单证并转移标的物所有权的义务。"
动产抵押权的追及效力及买受人权利,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零四条【动产抵押权无追及效力】以动产抵押的不得对抗正常经营活动中已经支付合理价款并取得抵押财产的买受人。","第二编 物 权,第四分编 担 保 物 权,第十八章 质 权,第一节 动 产 质 权,第四百三十二条【质权人的保管义务和赔偿责任】质权人负有妥善保管质押财产的义务因保管不善致使质押财产毁损、灭失的应当承担赔偿责任。质权人的行为可能使质押财产毁损、灭失的出质人可以请求质权人将质押财产提存或者请求提前清偿债务并返还质押财产。"
动产抵押权无追及效力的具体法律规定是什么？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零四条【动产抵押权无追及效力】以动产抵押的不得对抗正常经营活动中已经支付合理价款并取得抵押财产的买受人。","第三编 合 同,第二分编 典 型 合 同,第十八章 建设工程合同,无,第八百零七条【发包人未支付工程价款的责任】发包人未按照约定支付价款的承包人可以催告发包人在合理期限内支付价款。发包人逾期不支付的除根据建设工程的性质不宜折价、拍卖外承包人可以与发包人协议将该工程折价也可以请求人民法院将该工程依法拍卖。建设工程的价款就该工程折价或者拍卖的价款优先受偿。"
抵押权设立前租赁关系的法律效力如何规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零五条【抵押权与租赁权的关系】抵押权设立前抵押财产已经出租并转移占有的原租赁关系不受该抵押权的影响。",第二百四十一条【所有权人设立他物权】所有权人有权在自己的不动产或者动产上设立用益物权和担保物权。用益物权人、担保物权人行使权利不得损害所有权人的权益。
抵押权设立前已出租的财产租赁关系是否受抵押影响,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零五条【抵押权与租赁权的关系】抵押权设立前抵押财产已经出租并转移占有的原租赁关系不受该抵押权的影响。","第三编 合同,第二分编 典型合同,第十四章 租赁合同,无,第七百零九条【承租人按约定使用租赁物的义务】承租人应当按照约定的方法使用租赁物。对租赁物的使用方法没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的应当根据租赁物的性质使用。"
抵押权设立前已出租财产的租赁关系是否受抵押权影响？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零五条【抵押权与租赁权的关系】抵押权设立前抵押财产已经出租并转移占有的原租赁关系不受该抵押权的影响。","第七编 侵 权 责 任,无,第五章 机动车交通事故责任,无,第一千二百零九条【机动车所有人、管理人与使用人不一致时的侵权责任】因租赁、借用等情形机动车所有人、管理人与使用人不是同一人时发生交通事故造成损害属于该机动车一方责任的由机动车使用人承担赔偿责任机动车所有人、管理人对损害的发生有过错的承担相应的赔偿责任。"
抵押权转让期间抵押人处分抵押财产的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零六条【抵押财产的处分】抵押期间抵押人可以转让抵押财产。当事人另有约定的按照其约定。抵押财产转让的抵押权不受影响。抵押人转让抵押财产的应当及时通知抵押权人。抵押权人能够证明抵押财产转让可能损害抵押权的可以请求抵押人将转让所得的价款向抵押权人提前清偿债务或者提存。转让的价款超过债权数额的部分归抵押人所有不足部分由债务人清偿。","第二编 物 权,第四分编 担 保 物 权,第十八章 质 权,第一节 动 产 质 权,第四百二十五条【动产质权的定义】为担保债务的履行债务人或者第三人将其动产出质给债权人占有的债务人不履行到期债务或者发生当事人约定的实现质权的情形债权人有权就该动产优先受偿。前款规定的债务人或者第三人为出质人债权人为质权人交付的动产为质押财产。"
